Cluster_ID,Unnamed: 0,Perc,View_time,first,LST,Lon,Lat,MODIS_Time,Day,Temp,RH,Sensor_Time,NDVI,Prec
82626580843522.0,31341.30769230769,70.0,13.076923076923077,13.076923076923077,33.322307692307724,20.7832992451764,48.07991821710013,11.691369793911317,15.461538461538462,30.823076923076922,41.92307692307692,11.807692307692308,0.6298,0.0994177535176277
82656645613439.0,35996.11038961039,70.0,12.567640692640692,12.567640692640692,26.916227272727305,24.764629024430608,59.41436538544069,10.91666542434532,17.438419913419914,22.925671842650104,51.26590062111801,10.943975155279503,0.58055,0.055671052634716
82678120449777.0,39481.21428571428,70.0,12.771428571428572,12.771428571428572,27.93714285714289,25.68589803029696,60.96940018129184,11.059035369408775,18.642857142857142,24.442857142857143,43.07142857142857,11.142857142857142,0.5187,0.0635357052087783
82699595287205.0,36646.78571428572,70.0,12.65,12.65,30.632857142857173,21.96350735739613,51.41902685895201,11.18576617617359,17.714285714285715,41.59285714285714,26.214285714285715,11.214285714285714,0.50185,0.062008935958147
82738249993149.0,33530.28692307692,70.0,12.934820512820513,12.934820512820513,31.656056410256447,21.239436744697166,48.72840528330276,11.518858063174035,15.93897435897436,27.710410256410256,49.84794871794872,11.486666666666668,0.58186,0.11269693076610561
82742544959599.0,34759.30811546841,70.0,12.848881626724765,12.848881626724765,28.167701343500394,24.102321123149515,56.924115101086194,11.242060218514796,17.166666666666668,23.92161220043573,51.30808823529412,11.177078794480755,0.5652222222222223,0.10088514453834954
82764019797340.0,26348.473684210527,70.0,13.015789473684212,13.015789473684212,31.987894736842133,20.420051955160584,44.771907345994975,11.654452676673504,13.0,33.142105263157895,41.78947368421053,11.657894736842104,0.77,0.0696173533797264
82927228553908.0,38537.3125,70.0,12.677403846153846,12.677403846153846,29.086826923076956,22.696489929460512,51.21292720826173,11.164304517523146,18.41826923076923,25.40721153846154,53.47115384615385,11.158653846153847,0.618575,0.0820994563400745
82931523520831.0,39507.16477272727,70.0,12.711363636363636,12.711363636363636,29.15681818181821,23.914308329515535,54.91622401045169,11.117076414395935,19.613636363636363,25.275,51.8625,11.2125,0.5924750000000001,0.10168804600834841
82948703390782.0,29302.0,70.0,12.88125,12.88125,36.81312500000003,21.674678004861285,47.534443073883665,11.436271466342582,14.6875,28.866458333333334,43.3125,11.466666666666667,0.5537000000000001,0.0926564782857894
82974473194701.0,27624.941176470587,70.0,13.047058823529412,13.047058823529412,34.66058823529414,21.349114577848148,46.16970621231971,11.623784518339535,13.588235294117647,28.08823529411765,49.35294117647059,11.676470588235293,0.47865,0.0810763910412788
82983063129338.0,25749.808823529413,70.0,13.153676470588234,13.153676470588234,35.5233823529412,21.213399607735994,45.74280748431648,11.739449830072502,12.257352941176471,30.050919117647055,46.03492647058823,11.772058823529413,0.48965000000000003,0.068151518702507
83090437311434.0,29414.4,70.0,12.99,12.99,30.385000000000026,22.26424696884473,48.60960591303686,11.505716868743685,13.95,25.878947368421052,53.78947368421053,11.605263157894736,0.69925,0.11893269419670101
83103322212126.0,38263.77243589744,70.0,12.662179487179486,12.662179487179486,26.063525641025677,26.900998608259897,60.507348130133764,10.868779579962162,19.19871794871795,24.859615384615385,60.96474358974359,10.977564102564102,0.57415,0.08689102530479428
83382495086930.0,33322.916666666664,70.0,12.766666666666666,12.766666666666666,27.585000000000026,25.24383389961096,54.69491882516917,11.083744406692604,16.333333333333332,25.5625,48.291666666666664,11.166666666666666,0.64915,0.1072835475206375
83507049137753.0,33764.153846153844,70.0,12.546153846153846,12.546153846153846,23.073076923076947,29.82710085144057,62.6155130079798,10.557680456057808,16.307692307692307,22.95384615384615,46.07692307692308,10.653846153846153,0.6510499999999999,0.08463507145643231
83696027700367.0,29846.846153846152,70.0,13.0,13.0,34.14846153846157,23.597906125616703,46.75422747391066,11.42680625829222,14.307692307692308,25.6,51.15384615384615,11.576923076923077,0.47995,0.0836751237511634
83880711294874.0,30557.954545454544,70.0,13.013636363636364,13.013636363636364,44.16227272727276,22.42226190332517,39.605849263783156,11.518818903414685,14.5,33.486363636363635,31.0,11.590909090909092,0.28945,0.0643187314271926
