Cluster_ID,Unnamed: 0,Perc,View_time,LST,Lon,Lat,MODIS_Time,Day,Temp,RH,Sensor_Time,NDVI,Prec
78443282697486.0,24062.69696969697,20.0,12.771212121212121,30.74696969696973,8.058601874047765,45.6139223706512,12.233971996275605,15.843434343434344,28.25222222222222,55.96111111111111,12.233333333333334,0.6602,0.10905267298221581
78447577664564.0,22669.647058823528,20.0,13.058823529411764,33.380588235294155,8.285959545826824,47.5895107423432,12.506426226356645,14.941176470588236,32.88235294117647,35.470588235294116,12.558823529411764,0.5543500000000001,0.1422269493341446
78447577664577.0,23768.488617483094,20.0,13.115139423592403,30.34121580210728,8.569444751501065,47.32440389316462,12.543843106825666,15.73263727586483,28.450714763929742,48.71802723098195,12.567241616312824,0.6712115384615385,0.1527811687153119
78451872631628.0,20961.14285714286,20.0,13.242857142857144,33.501428571428605,8.46525108098378,49.80956338382229,12.678507070791559,13.714285714285714,33.892857142857146,20.142857142857142,12.714285714285714,0.6496500000000001,0.073281243443489
78486232369952.0,21579.304702247304,20.0,12.97963201711823,32.000722854725645,8.526846873385553,50.06679870482234,12.411175558892525,14.420175390717672,28.483850919981435,40.12281548618865,12.434044956609297,0.6463322916666667,0.0699775515434642
78490527337035.0,30154.718154761907,20.0,12.845152116402117,31.952993386243417,8.657032186599677,52.05876293933724,12.268016637295469,19.77123015873016,27.922450396825397,47.14054232804233,12.37040343915344,0.6015541666666667,0.06815159569183982
78490527337088.0,28015.84090909091,20.0,12.761111111111111,31.17111111111114,8.693525841212832,51.68468969514718,12.181542721696923,18.075757575757574,28.28459595959596,44.58585858585858,12.234848484848484,0.5973166666666667,0.0834151729941368
78494822304504.0,26444.636363636364,20.0,13.072727272727274,30.37000000000003,8.712004355978312,50.598454164894775,12.491926982328721,16.454545454545453,36.53636363636364,29.59090909090909,12.454545454545453,0.71425,0.06663296744227405
78503412239366.0,20701.793055555554,20.0,12.968333333333334,31.1731666666667,8.487616445500846,48.02848694554967,12.40249223696661,14.052777777777777,26.46820707070707,41.752146464646465,12.456944444444446,0.5662833333333334,0.11803332716226571
78507707206416.0,22874.61111111111,20.0,13.144444444444444,34.854444444444475,8.730554216360648,50.355390796021965,12.562407496687069,15.333333333333334,29.41111111111111,38.66666666666667,12.428571428571429,0.66735,0.0656064301729202
78507707206483.0,22437.31838607821,20.0,12.980577299684443,33.62899813182852,8.626360313088087,49.42212085223688,12.405486612145237,14.800932202717917,29.983790034370394,38.52640226836655,12.39538308913309,0.5979392857142857,0.07864677081150663
78516297141462.0,24190.444444444445,20.0,12.75,26.956666666666692,8.258317578396516,46.02401400360047,12.199445494773563,15.277777777777779,29.52777777777778,52.44444444444444,12.222222222222221,0.8971,0.122384563088417
78529182042355.0,25624.7,20.0,12.864999999999998,28.299000000000028,9.537667113888038,55.725742592997406,12.229155525740797,15.7,23.064999999999998,63.7,12.149999999999999,0.686875,0.1046156957745552
78529182042374.0,26419.416666666668,20.0,13.049999999999999,28.421666666666695,9.501648725128833,55.48239607120772,12.416556751658078,17.416666666666668,26.425,67.5,12.333333333333334,0.5483500000000001,0.0937686488032341
78533477010531.0,24355.375618202746,20.0,13.061131420179407,29.84325973776828,8.36828518451441,47.07473805341469,12.50324574121178,16.02257184250218,29.049986273186736,51.378674485988725,12.514968511021143,0.6560115384615385,0.1459789035411981
78542066943844.0,25161.104188166493,20.0,12.655426556587548,24.964849501204018,10.156131052697823,59.73959906193093,11.978351153074358,16.192466460268317,24.600907292741656,45.19160646714826,12.038613691090472,0.7246125,0.09510585106909272
78546361911630.0,29801.85128205128,20.0,12.831794871794871,24.99700000000003,9.48673303210505,54.81043629705974,12.199346002987866,19.18504273504274,24.765769230769234,57.717521367521364,12.171794871794871,0.66345,0.09407221277554827
